EC,yeast8,yeast8U,ratio
1.8.99,0,312,0.0
1.1.1,158,288,1.8227848101265822
1.1.99,11,286,26.0
1.14.13,6,242,40.333333333333336
1.14.11,2,203,101.5
1.2.1,37,134,3.6216216216216215
1.3.1,27,122,4.518518518518518
1.11.2,1,107,107.0
1.14.14,3,80,26.666666666666668
1.14.18,10,70,7.0
1.3.7,0,50,0.0
1.8.1,28,49,1.75
1.4.1,1,48,48.0
1.10.3,2,40,20.0
1.6.5,8,40,5.0
1.5.1,11,37,3.3636363636363638
1.11.1,11,34,3.090909090909091
1.4.3,5,31,6.2
1.16.3,3,29,9.666666666666666
1.16.1,2,28,14.0
1.3.99,1,27,27.0
1.8.3,1,27,27.0
1.1.5,1,23,23.0
1.8.98,0,22,0.0
1.3.3,20,21,1.05
1.1.3,1,19,19.0
1.97.1,0,17,0.0
1.8.5,5,15,3.0
1.5.3,3,14,4.666666666666667
1.14.99,6,12,2.0
1.14.19,7,9,1.2857142857142858
1.17.4,8,9,1.125
1.3.5,4,8,2.0
1.4.4,8,8,1.0
1.3.8,3,7,2.3333333333333335
1.13.11,3,6,2.0
1.3.98,1,6,6.0
1.14.12,2,5,2.5
1.2.4,4,4,1.0
1.17.99,1,4,4.0
1.13.12,1,4,4.0
1.6.2,3,3,1.0
1.20.4,2,3,1.5
1.8.4,3,3,1.0
1.1.2,2,2,1.0
1.18.1,2,2,1.0
1.14.17,1,2,2.0
1.7.5,1,2,2.0
1.15.1,2,2,1.0
1.17.1,1,1,1.0
1.5.5,1,1,1.0
1.12.98,0,1,0.0
2.7.1,300,775,2.5833333333333335
2.4.1,125,761,6.088
2.3.1,554,745,1.3447653429602888
2.6.1,42,598,14.238095238095237
2.1.1,66,584,8.848484848484848
2.7.4,48,396,8.25
2.7.7,43,302,7.023255813953488
2.7.11,18,286,15.88888888888889
2.7.8,102,245,2.4019607843137254
2.5.1,67,166,2.4776119402985075
2.3.2,14,165,11.785714285714286
2.4.2,23,104,4.521739130434782
2.7.13,9,97,10.777777777777779
2.2.1,5,46,9.2
2.7.10,1,28,28.0
2.1.2,15,25,1.6666666666666667
2.8.4,8,25,3.125
2.1.3,1,18,18.0
2.7.6,7,17,2.4285714285714284
2.7.12,1,11,11.0
2.3.3,10,10,1.0
2.8.1,6,9,1.5
2.7.3,6,9,1.5
2.7.2,5,5,1.0
2.4.99,1,1,1.0
3.1.1,291,747,2.5670103092783507
3.1.3,206,714,3.466019417475728
3.4.21,12,478,39.833333333333336
3.6.4,39,404,10.35897435897436
3.1.4,121,219,1.8099173553719008
3.2.1,28,182,6.5
3.6.1,46,172,3.739130434782609
3.4.14,9,165,18.333333333333332
3.4.19,19,125,6.578947368421052
3.5.1,23,110,4.782608695652174
3.2.2,14,91,6.5
3.1.2,20,67,3.35
3.5.4,18,30,1.6666666666666667
3.4.23,8,29,3.625
3.6.5,15,21,1.4
3.4.11,4,20,5.0
3.4.16,15,18,1.2
3.4.22,0,18,0.0
3.1.11,0,17,0.0
3.1.26,0,15,0.0
3.4.17,1,14,14.0
3.3.2,9,11,1.2222222222222223
3.3.1,1,6,6.0
3.4.13,3,6,2.0
3.7.1,2,5,2.5
3.5.99,0,5,0.0
3.1.7,0,5,0.0
3.5.3,2,4,2.0
3.1.13,0,3,0.0
3.5.2,2,2,1.0
3.4.24,1,2,2.0
3.6.2,0,2,0.0
3.4.25,0,2,0.0
4.2.1,75,219,2.92
4.1.1,37,110,2.972972972972973
4.4.1,7,99,14.142857142857142
4.99.1,4,74,18.5
4.1.3,9,70,7.777777777777778
4.2.3,10,62,6.2
4.6.1,11,48,4.363636363636363
4.3.3,3,40,13.333333333333334
4.1.2,7,28,4.0
4.2.99,0,21,0.0
4.3.2,7,17,2.4285714285714284
4.3.1,5,15,3.0
4.1.99,4,8,2.0
4.5.1,1,1,1.0
4.2.2,1,1,1.0
5.2.1,3,219,73.0
5.4.99,5,207,41.4
5.5.1,4,134,33.5
5.3.4,4,54,13.5
5.3.1,7,24,3.4285714285714284
5.3.99,8,21,2.625
5.4.2,7,15,2.142857142857143
5.3.3,9,12,1.3333333333333333
5.1.3,4,7,1.75
5.3.2,6,6,1.0
5.6.1,2,2,1.0
5.1.1,1,1,1.0
6.2.1,45,93,2.066666666666667
6.3.2,7,48,6.857142857142857
6.1.1,35,35,1.0
6.3.4,17,32,1.8823529411764706
6.3.5,11,21,1.9090909090909092
6.3.3,6,20,3.3333333333333335
6.3.1,4,11,2.75
6.4.1,5,6,1.2
7.1.1,16,839,52.4375
7.6.2,63,67,1.0634920634920635
7.2.1,6,36,6.0
7.2.2,16,16,1.0
7.1.2,5,5,1.0
7.5.2,3,4,1.3333333333333333
7.3.2,1,1,1.0
